,input,channel,target,si_snr
0,A,B,A,-27.46098518371582
1,A,C,A,-27.58446502685547
2,A,D,A,-30.346628189086914
3,B,A,B,-29.932689666748047
4,B,C,B,-14.724735260009766
5,B,D,B,-18.4268741607666
6,C,A,C,-31.619712829589844
7,C,B,C,-13.669157028198242
8,C,D,C,-21.044111251831055
9,D,A,D,-40.767120361328125
10,D,B,D,-8.301261901855469
11,D,C,D,-17.21063804626465
12,BC,A,B,-35.38465881347656
13,BC,A,C,-34.63961410522461
14,BC,D,B,-19.100439071655273
15,BC,D,C,-21.288265228271484
16,BD,A,B,-37.810752868652344
17,BD,A,D,-41.347618103027344
18,BD,C,B,-14.401490211486816
19,BD,C,D,-16.30103302001953
20,CD,A,C,-38.787620544433594
21,CD,A,D,-40.47713851928711
22,CD,B,C,-13.039730072021484
23,CD,B,D,-12.644615173339844
24,BCD,A,B,-39.524173736572266
25,BCD,A,C,-37.89096450805664
26,BCD,A,D,-41.50740432739258
