,input,channel,target,sr
0,A,B,A,0.07822991907596588
1,A,C,A,0.07208613306283951
2,A,D,A,0.04697173833847046
3,B,A,B,0.06213920935988426
4,B,C,B,0.2841864228248596
5,B,D,B,0.1991283893585205
6,C,A,C,0.07457713037729263
7,C,B,C,0.31478482484817505
8,C,D,C,0.17602673172950745
9,D,A,D,0.014077743515372276
10,D,B,D,0.4251159429550171
11,D,C,D,0.24693764746189117
12,BC,A,B,0.03567711263895035
13,BC,A,C,0.03668767213821411
14,BC,D,B,0.1814517229795456
15,BC,D,C,0.1585620492696762
16,BD,A,B,0.022139500826597214
17,BD,A,D,0.015603221021592617
18,BD,C,B,0.27507340908050537
19,BD,C,D,0.24609903991222382
20,CD,A,C,0.021097026765346527
21,CD,A,D,0.016907278448343277
22,CD,B,C,0.30175843834877014
23,CD,B,D,0.31335511803627014
24,BCD,A,B,0.01964929699897766
25,BCD,A,C,0.022207502275705338
26,BCD,A,D,0.015454151667654514
