,input,channel,target,mse
0,A,B,B,4.4086118577979505e-05
1,A,C,C,6.082917388994247e-05
2,A,D,D,2.5670959075796418e-05
3,B,A,A,2.0277157091186382e-05
4,B,C,C,9.250789298675954e-05
5,B,D,D,6.683759420411661e-05
6,C,A,A,3.1315772503148764e-05
7,C,B,B,0.00011993334192084149
8,C,D,D,7.353699766099453e-05
9,D,A,A,1.1861273378599435e-05
10,D,B,B,6.533287523780018e-05
11,D,C,C,5.270982001093216e-05
12,BC,A,A,2.8535489036585204e-05
13,BC,D,D,0.0001227017055498436
14,BD,A,A,1.977454849111382e-05
15,BD,C,C,0.00013131411105860025
16,CD,A,A,2.179181137762498e-05
17,CD,B,B,0.0001978485524887219
18,BCD,A,A,2.7683181542670354e-05
