,input,channel,target,si_snr
0,A,B,A,-16.663360595703125
1,A,C,A,-17.14078712463379
2,A,D,A,-22.17357635498047
3,B,A,B,-19.646066665649414
4,B,C,B,-12.165066719055176
5,B,D,B,-14.610240936279297
6,C,A,C,-17.059917449951172
7,C,B,C,-8.274547576904297
8,C,D,C,-17.501392364501953
9,D,A,D,-31.673843383789062
10,D,B,D,-10.688934326171875
11,D,C,D,-17.400049209594727
12,BC,A,B,-24.80141258239746
13,BC,A,C,-22.830747604370117
14,BC,D,B,-13.926105499267578
15,BC,D,C,-14.04576301574707
16,BD,A,B,-25.637231826782227
17,BD,A,D,-32.7012825012207
18,BD,C,B,-11.236587524414062
19,BD,C,D,-14.639798164367676
20,CD,A,C,-27.509309768676758
21,CD,A,D,-32.6893310546875
22,CD,B,C,-8.837227821350098
23,CD,B,D,-10.851540565490723
24,BCD,A,B,-29.699098587036133
25,BCD,A,C,-27.137481689453125
26,BCD,A,D,-34.80391311645508
