,input,channel,target,sr
0,A,B,A,0.2115309089422226
1,A,C,A,0.19809621572494507
2,A,D,A,0.10631205141544342
3,B,A,B,0.15606027841567993
4,B,C,B,0.3122890591621399
5,B,D,B,0.29083073139190674
6,C,A,C,0.21132196485996246
7,C,B,C,0.4166055917739868
8,C,D,C,0.25932037830352783
9,D,A,D,0.04249342530965805
10,D,B,D,0.38005492091178894
11,D,C,D,0.21868783235549927
12,BC,A,B,0.1056995615363121
13,BC,A,C,0.12240865081548691
14,BC,D,B,0.26818421483039856
15,BC,D,C,0.26109251379966736
16,BD,A,B,0.08010748028755188
17,BD,A,D,0.03916461020708084
18,BD,C,B,0.30409836769104004
19,BD,C,D,0.22731122374534607
20,CD,A,C,0.07850737124681473
21,CD,A,D,0.038250844925642014
22,CD,B,C,0.38330957293510437
23,CD,B,D,0.32984063029289246
24,BCD,A,B,0.05964547395706177
25,BCD,A,C,0.07488206773996353
26,BCD,A,D,0.03150094673037529
